state,cons_2017,cons_2018,cons_2019,cons_2020,cons_2021,cons_2022,share_2022
Andaman and Nicobar Islands,10.2,11.0,12.2,12.1,13.1,13.6,0.0
Andhra Pradesh,1098.5,1150.2,1190.0,1293.0,1325.5,1335.4,4.7
Arunachal Pradesh,19.9,21.6,23.2,23.8,25.4,26.9,0.1
Assam,372.6,420.9,450.9,505.7,486.3,509.4,1.8
Bihar,1127.6,1234.8,1404.4,1643.0,1625.0,1528.3,5.4
Chandigarh,55.1,55.7,56.4,46.5,52.6,55.1,0.2
Chhattisgarh,257.4,272.5,294.8,344.2,332.0,330.2,1.2
Dadra and Nagar Haveli and Daman and Diu,29.1,29.2,31.3,30.5,29.2,33.2,0.1
Delhi,807.6,824.9,822.6,733.0,771.1,787.8,2.8
Goa,66.0,69.7,71.1,65.4,71.1,74.7,0.3
Gujarat,1041.7,1105.2,1173.6,1186.3,1282.0,1404.7,4.9
Haryana,740.3,805.0,858.2,869.4,930.8,981.7,3.4
Himachal Pradesh,153.0,165.1,180.1,183.8,194.2,196.0,0.7
Jammu and Kashmir,188.8,204.7,210.6,210.0,215.8,217.5,0.8
Jharkhand,294.1,340.6,378.0,424.7,399.3,393.1,1.4
Karnataka,1573.7,1687.3,1769.7,1840.7,1927.9,1996.8,7.0
Kerala,931.9,989.2,1033.3,1071.7,1111.4,1133.3,4.0
Ladakh,0.0,0.0,1.7,6.5,8.0,8.9,0.0
Lakshadweep,0.4,0.5,0.6,0.8,0.8,0.9,0.0
Madhya Pradesh,914.4,995.3,1068.2,1137.0,1140.2,1140.4,4.0
Maharashtra,2799.1,2989.6,3123.6,3089.1,3307.0,3363.6,11.8
Manipur,28.4,35.7,40.8,48.6,51.9,55.6,0.2
Meghalaya,21.3,25.1,26.6,27.4,27.7,31.2,0.1
Mizoram,21.7,25.1,27.0,29.0,29.6,31.8,0.1
Nagaland,22.2,22.6,24.2,24.8,27.5,29.2,0.1
Odisha,533.6,548.5,553.1,692.0,638.4,627.2,2.2
Puducherry,43.0,44.2,44.9,47.2,47.8,46.9,0.2
Punjab,873.9,937.5,980.7,991.5,1027.1,1004.1,3.5
Rajasthan,1193.8,1292.5,1389.9,1412.7,1494.1,1534.8,5.4
Sikkim,14.0,15.6,16.8,16.2,18.2,20.3,0.1
Tamil Nadu,2019.0,2114.3,2178.1,2292.5,2375.6,2369.2,8.3
Telangana,891.7,963.5,1001.4,1027.5,1086.9,1123.7,3.9
Tripura,44.1,49.2,52.9,60.0,57.7,57.5,0.2
Uttar Pradesh,2924.0,3166.0,3532.0,3819.0,3855.0,3778.7,13.3
Uttarakhand,268.5,288.1,308.2,304.5,321.8,336.8,1.2
West Bengal,1597.2,1689.7,1794.9,1983.9,1945.1,1924.7,6.8
Total Sales,22977.0,24591.0,26126.0,27494.0,28253.0,28503.4,100.0
Pvt Imports,364.5,316.0,204.0,64.2,0.1,0.1,0.0
Total Consumption,23342.0,24907.0,26330.0,27558.0,28253.0,28503.5,100.0
